SYMBOL,NAME OF COMPANY
PCJEWELLER,PC JEWELLER LTD.
INDUSTOWER,Indus Towers Ltd
VMART,V-MART RETAIL LTD.
NIBE,NIBE Ltd
MUKTA,Mukta Agriculture Ltd
MYSTICELE,Mystic Electronics Ltd
COMFINCAP,COMFORT FINCAP LTD.
SBISENSEX,SBI Mutual Fund - SBI Sensex ETF
BMAL,BOTHRA METALS & ALLOYS LTD.
REPCOHOME,REPCO HOME FINANCE LTD.
LAKHOTIA,LAKHOTIA POLYESTERS (INDIA) LTD.
GCMSECU,GCM Securities Ltd
NIBL,NRB INDUSTRIAL BEARINGS LTD.
KIFS,KIFS FINANCIAL SERVICES LTD.
SREEL,SREELEATHERS LTD.
SHARDA,Sharda Motor Industries Ltd
BINNYMILLS,BINNY MILLS LTD.
SVGLOBAL,S V GLOBAL MILL LTD.
SDC,SDC Techmedia Ltd
JUSTDIAL,JUST DIAL LTD.
OONE,OBJECTONE INFORMATION SYSTEMS LTD.
IFINSEC,INDIA FINSEC LTD.
BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE LTD.
QUEST,Quest Softech (India) Ltd
ORIENTCEM,Orient Cement Ltd
ABFRL,Aditya Birla Fashion and Retail Ltd
IBULHSGFIN,Indiabulls Housing Finance Ltd
MMLF,Money Masters Leasing & Finance Ltd
ALSL,Alacrity Securities Ltd
GCMCOMM,GCM Commodity & Derivatives Ltd
KUSHAL,Kushal Ltd
TIGERLOGS,Tiger Logistics (India) Ltd
RJBIOTECH,R J Bio-Tech Ltd
JK AGRI,JK Agri Genetics Ltd
FLFL,Future Lifestyle Fashions Ltd
TRIMURTHI,Trimurthi Ltd
PVVINFRA,PVV Infra Ltd
VCU,VCU Data Management Ltd
INDRENEW,IND Renewable Energy Ltd
SRGSFL,S R G Securities Finance Ltd
ACFSL,Amrapali Capital and Finance Services Ltd
STELLAR,Stellar Capital Services Ltd
FIVEXTRADE,Five X Tradecom Ltd
YURANUS,Yuranus Infrastructure Ltd
INTELSOFT,Integra Telecommunication & Software Ltd
MOM100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Midcap 100 ETF- Growth option
BPCAP,B. P. Capital Ltd
CPL,Captain Polyplast Ltd
ICICINIFTY,ICICI Prudential Nifty ETF
ICICINF100,ICICI Prudential Nifty 100 ETF
ARNOLD,Arnold Holdings Ltd
SUNLOC,Sunil Healthcare Ltd
RCIIND,RCI Industries & Technologies Ltd
SUYOG,Suyog Telematics Ltd
NATHBIOGEN,Nath Bio-Genes (India) Ltd
AGRITECH,Agri- Tech (India) Ltd
CHEMTECH,Chemtech Industrial Valves Ltd
TAAZAINT,Taaza International Ltd
NETFNIF100,NIPPON INDIA ETF NIFTY 100
AGRIMONY,Agrimony Commodities Ltd
VIAANINDUS,Viaan Industries Ltd
DENISCHEM,Denis Chem Lab Ltd
POLYMAC,Polymac Thermoformers Ltd
UNISHIRE,Unishire Urban Infra Ltd
LAXMIPATI,Laxmipati Engineering Works Ltd
ETT,ETT Ltd
KOTAKNIFTY,Kotak Mahindra Mutual Fund - Kotak Nifty ETF
KIRANVYPAR,Kiran Vyapar Ltd
BCP,B.C. Power Controls Ltd
KCSL,Karnimata Cold Storage Ltd
RACE,Race Eco Chain Ltd
MANGIND,Mangalam Industrial Finance Ltd
VFL,Viji Finance Ltd
PHOENIXTN,Phoenix Township Ltd
RAUNAQEPC,Raunaq EPC International Ltd
INFRONICS,Infronics Systems Ltd
OBIL,Oceanaa Biotek Industries Ltd
CPSEETF,CPSE ETF
HARIAAPL,Haria Apparels Ltd
JOONKTOLL,Joonktollee Tea & Industries Ltd
RNBDENIMS,R&B Denims Ltd
GOLDLINE,Gold Line International Finvest Ltd
SHARPINV,Sharp Investments Ltd
WONDERLA,Wonderla Holidays Ltd
RESPONSINF,Response Informatics Ltd
GCMCAPI,GCM Capital Advisors Ltd
AFEL,A.F. Enterprises Ltd
INCREDIBLE,Incredible Industries Ltd
WESTLEIRES,West Leisure Resorts Ltd
NAM,Nam Securities Ltd
METSL,Maestros Electronics & Telecommunications Systems Ltd
SPS,SPS Finquest Ltd
CCFCL,Classic Global Finance & Capital Ltd
MONEYBOXX,Moneyboxx Finance Ltd
QUASAR,Quasar India Ltd
TPROJECT,Thirani Projects Ltd
CTL,Capital Trade Links Ltd
TARINI,Tarini International Ltd
CROWNTOURS,Crown Tours Ltd
OMANSH,Omansh Enterprises Ltd
JTAPARIA,J. Taparia Projects Ltd
GOLDCOINHF,Gold Coin Health Foods Ltd
BRPL,Bansal Roofing Products Ltd
ARMAN,Arman Holdings Ltd
SKIPPER,Skipper Ltd
ADARSH,Adarsh Mercantile Ltd
JAMESWARREN,James Warren Tea Ltd
VISTARAMAR,Vistar Amar Ltd
APOLLOTRI,Apollo Tricoat Tubes Ltd
GULFOILLUB,Gulf Oil Lubricants India Ltd
FRUTION,Fruition Venture Ltd
TRIVENIENT,Triveni Enterprises Ltd
BHANDERI,Bhanderi Infracon Ltd
TRIVIKRAMA,Trivikrama Industries Ltd
QUANTBUILD,Quantum Build-Tech Ltd
TTIENT,TTI Enterprise Ltd
VISHAL,Vishal Fabrics Ltd
TOYAMIND,Toyam Industries Ltd
GAJANANSEC,Gajanan Securities Services Ltd
UNISON,Unison Metals Ltd
RTFL,Real Touch Finance Ltd
VRL,Vasundhara Rasayans Ltd
SNOWMAN,Snowman Logistics Ltd
QGO,QGO Finance Ltd
PURSHOTTAM,Purshottam Investofin Ltd
HCLTD,Hind Commerce Ltd
SHARDACROP,Sharda Cropchem Ltd
SIROHIA,Sirohia & Sons Ltd
NAYSAA,Naysaa Securities Ltd
CITYONLINE,City Online Services Ltd
NETFSENSEX,NIPPON INDIA ETF SENSEX
SHEMAROO,Shemaroo Entertainment Ltd
ULTRACAB,Ultracab (India) Ltd
RCCL,Rajasthan Cylinders & Containers Ltd
ETIL,Econo Trade (India) Ltd
ATISHAY,Atishay Ltd
SUCHITRA,Suchitra Finance & Trading Company Ltd
DHABRIYA,Dhabriya Polywood Ltd
ARYACAPM,Aryaman Capital Markets Ltd
PDSMFL,PDS Multinational Fashions Ltd
HANMAN,Hanman Fit Ltd
VGCL,Vibrant Global Capital Ltd
STARLIT,Starlit Power Systems Ltd
CEINSYSTECH,Ceinsys Tech Ltd
PANACHE,Panache Innovations Ltd
MUDUNURU,Mudunuru Ltd
JSHL,JLA Infraville Shoppers Ltd
CRANEINFRA,Crane Infrastructure Ltd
NIYOGIN,Niyogin Fintech Ltd
ASIACAP,Asia Capital Ltd
AKASHDEEP,Akashdeep Metal Industries Ltd
GBFL,Goenka Business & Finance Ltd
GILADAFINS,Gilada Finance & Investments Ltd
BUDGE BUDGE,Budge Budge Company Ltd
JETINFRA,Jet Infraventure Ltd
SAPPL,Shree Ajit Pulp And Paper Ltd
AANCHALISP,Aanchal Ispat Ltd
CAPPIPES,Captain Pipes Ltd
ANUBHAV,Anubhav Infrastructure Ltd
MEL,Meenakshi Enterprises Ltd
INTELLECT,Intellect Design Arena Ltd
MONTECARLO,Monte Carlo Fashions Ltd
JSTL,Jeevan Scientific Technology Ltd
ICL,Indo Cotspin Ltd
PANAFIC,Panafic Industrials Ltd
MYMONEY,My Money Securities Ltd
AMARNATH,Sri Amarnath Finance Ltd
CSL,Continental Securities Ltd
NEXUSSURGL,Nexus Surgical And Medicare Ltd
SELLWIN,Sellwin Traders Ltd
GALADAFIN,Galada Finance Ltd
EMERALD,Emerald Leasing Finance & Investment Company Ltd
MKEXIM,M.K. Exim (India) Ltd
MCLOUD,Magellanic Cloud Ltd
OCTAL,Octal Credit Capital Ltd
MIHIKA,Mihika Industries Ltd
KANCHI,Kanchi Karpooram Ltd
SHRINIWAS,Shri Niwas Leasing And Finance Ltd
DHUNTEAIND,Dhunseri Tea & Industries Ltd
VANICOM,Vani Commercials Ltd
SKILVEN,Skyline Ventures India Ltd
SPACEAGE,Spaceage Products Ltd
RAFL,Raghuvansh Agrofarms Ltd
COSYN,COSYN Ltd
SOFCOM,Sofcom Systems Ltd
NAPL,Naturite Agro Products Ltd
KARNAVATI,Karnavati Finance Ltd
ABHIFIN,Abhishek Finlease Ltd
MERCANTILE,Mercantile Ventures Ltd
SONAL,Sonal Mercantile Ltd
ALFL,Abhinav Leasing & Finance Ltd
GENUSPAPER,Genus Paper & Boards Ltd
MINDACORP,Minda Corporation Ltd
MERCURYLAB,Mercury Laboratories Ltd
CONCORD,Concord Drugs Ltd
WARDINMOBI,Wardwizard Innovations & Mobility Ltd
GRNLAMIND,Greenlam Industries Ltd
TALBROSENG,Talbros Engineering Ltd
SAPL,SAR Auto Products Ltd
PUROHITCON,Purohit Construction Ltd
JAYATMA,Jayatma Enterprises Ltd
PTCIL,PTC Industries Ltd
GBLIL,GBL Industries Ltd
CHENFERRO,Chennai Ferrous Industries Ltd
MEGRISOFT,Megri Soft Ltd
GITARENEW,Gita Renewable Energy Ltd
ORTEL,Ortel Communications Ltd
NEIL,Neil Industries Ltd
STARHFL,Star Housing Finance Ltd
BEEKAY,Beekay Steel Industries Ltd
SSPNFIN,SSPN Finance Ltd
SETFBSE100,SBI Mutual Fund - SBI - ETF BSE 100
FRASER,Fraser and Company Ltd
TTIL,Tirupati Tyres Ltd
SVPHOUSING,SVP Housing Ltd
AGIIL,AGI Infra Ltd
BKMINDST,BKM Industries Ltd
MANAKSTELTD,Manaksia Steels Ltd
MNKALCOLTD,Manaksia Aluminium Company Ltd
MNKCMILTD,Manaksia Coated Metals & Industries Ltd
IMAGICAA,Imagicaaworld Entertainment Ltd
INOXWIND,Inox Wind Ltd
RAJPUTANA,Rajputana Investment and Finance Ltd
CITL,Consecutive Investment & Trading Company Ltd
AANANDALAK,Aananda Lakshmi Spinning Mills Ltd
HKG,HKG Ltd
FILTRA,Filtra Consultants and Engineers Ltd
ATHCON,Athena Constructions Ltd
NORTHLINK,Northlink Fiscal and Capital Services Ltd
SHESHAINDS,Sheshadri Industries Ltd
SAB,SAB Industries Ltd
PML,Paul Merchants Ltd
OPCHAINS,O. P. Chains Ltd
SUJALA,Sujala Trading & Holdings Ltd
VRLLOG,VRL Logistics Ltd
JAINMARMO,Jain Marmo Industries Ltd
BFFL,Bangalore Fort Farms Ltd
PALCO,Palco Metals Ltd
BODHTREE,Bodhtree Consulting Ltd
SARVOTTAM,Sarvottam Finvest Ltd
MEP,MEP Infrastructure Developers Ltd
VEGETABLE,Vegetable Products Ltd
UFO,UFO Moviez India Ltd
NIFTYEES,Edelweiss Mutual Fund - Edelweiss Exchange Traded Scheme - Nifty ( Nifty EES )
PANTH,Panth Infinity Ltd
SHIVALIK,Shivalik Rasayan Ltd
ICSL,Integrated Capital Services Ltd
PNCINFRA,PNC Infratech Ltd
ARFIN,Arfin India Ltd
HELPAGE,Helpage Finlease Ltd
INDRAIND,Indra Industries Ltd
HAWAENG,Hawa Engineers Ltd
AIIL,Authum Investment & Infrastructure Ltd
POEL,POCL Enterprises Ltd
AEL,Amba Enterprises Ltd
DEVHARI,Devhari Exports (India) Ltd
CAPFIN,Capfin India Ltd
MOONGIPASEC,Moongipa Securities Ltd
SATIA,Satia Industries Ltd
GVBL,Genomic Valley Biotech Ltd
GARMNTMNTR,Garment Mantra Lifestyle Ltd
SRESTHA,Srestha Finvest Ltd
SAUMYA,Saumya Consultants Ltd
MUL,Mauria Udyog Ltd
MISHKA,Mishka Exim Ltd
SPORTKING,Sportking India Ltd
VMV,VMV Holidays Ltd
AMBITION,Ambition Mica Ltd
HCKKVENTURE,HCKK Ventures Ltd
JIYAECO,Jiya Eco-Products Ltd
RUDRA,Rudra Global Infra Products Ltd
LOYAL,Loyal Equipments Ltd
GGPL,Gala Global Products Ltd
MRSS,Majestic Research Services and Solutions Ltd
CHEMIESYNT,Chemiesynth (Vapi) Ltd
GPL,Grandeur Products Ltd
JEL,Jyotirgamya Enterprises Ltd
SCFL,Shyam Century Ferrous Ltd
SURYAINDIA,Surya India Ltd
ADANITRANS,Adani Transmission Ltd
STARDELTA,Star Delta Transformers Ltd
AMRAFIN,Amrapali Fincap Ltd
DRHABEEB,Dr Habeebullah Life Sciences Ltd
SYNGENE,Syngene International Ltd
PECOS,Pecos Hotels and Pubs Ltd
BLFL,Boston Leasing and Finance Ltd
MSL,Mangalam Seeds Ltd
KAYA,Kaya Ltd
ALSTONE,Alstone Textiles (India) Ltd
SYMBIOX,Symbiox Investment & Trading Company Ltd
ORTINLAABS,Ortin Laboratories Ltd
AVI,AVI Polymers Ltd
MJCO,Majesco Ltd
BINDALAGRO,Oswal Greentech Ltd
OZONEWORLD,Ozone World Ltd
AKSPINTEX,A.K. Spintex Ltd
ARVSMART,Arvind SmartSpaces Ltd
POWERMECH,Power Mech Projects Ltd
CANOPYFIN,Canopy Finance Ltd
RAMASTEEL,Rama Steel Tubes Ltd
THINKINK,Thinkink Picturez Ltd
UTISENSETF,UTI- SENSEX ETF
UTINIFTETF,UTI NIFTY ETF
UNIAUTO,Universal Autofoundry Ltd
VETO,Veto Switchgears and Cables Ltd
NAVKARCORP,Navkar Corporation Ltd
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd
GUJGAS,Gujarat Gas Ltd
WAAREE,Waaree Technologies Ltd
SADBHIN,Sadbhav Infrastructure Project Ltd
SALAUTO,Sal Automotive Ltd
POLYSPIN,Polyspin Exports Ltd
PRITIKAUTO,Pritika Auto Industries Ltd
SKC,Sri Krishna Constructions (India) Ltd
SML,Soni Medicare Ltd
MINFY,Mahaveer Infoway Ltd
KRISHNACAP,Krishna Capital and Securities Ltd
ACME,Acme Resources Ltd
KCL,Kabra Commercial Ltd
VISHALBL,Vishal Bearings Ltd
BELLACASA,Bella Casa Fashion & Retail Ltd
MALLCOM,Mallcom (India) Ltd
PJL,Patdiam Jewellery Ltd
VAL,Vaksons Automobiles Ltd
ARAMBHAN,Arambhan Hospitality Services Ltd
SATIN,Satin Creditcare Network Ltd
DITCO,Decorous Investment & Trading Co Ltd
GENCON,Generic Engineering Construction and Projects Ltd
KUBERJI,Kuber Udyog Ltd
NEERAJ,Neeraj Paper Marketing Ltd
MUZALI,Muzali Arts Ltd
TEJNAKSH,Tejnaksh Healthcare Ltd
INDOGLOBAL,Indo-Global Enterprises Ltd
BRIPORT,Brilliant Portfolios Ltd
RFSL,Richfield Financial Services Ltd
COFFEEDAY,Coffee Day Enterprises Ltd
IDFCFIRSTB,IDFC First Bank Ltd
BEARDSELL,Beardsell Ltd
INDIGO,InterGlobe Aviation Ltd
IGCIL,IGC Industries Ltd
SHK,S H Kelkar and Company Ltd
ARYAVAN,Aryavan Enterprise Ltd
TFSL,Typhoon Financial Services Ltd
PANORAMA,Panorama Studios International Ltd
SHREEGANES,Shree Ganesh Biotech (India) Ltd
GTV,GTV Engineering Ltd
LICNETFN50,LIC MF EXCHANGE TRADED FUND- NIFTY 50
PARIKSHA,Pariksha Fin- Invest- Lease Ltd
LICNETFSEN,LIC MF EXCHANGE TRADED FUND- SENSEX
TFLL,Tirupati Finlease Ltd
GARBIFIN,Garbi Finvest Ltd
ADHARSHILA,Adharshila Capital Services Ltd
SMARTFIN,Smart Finsec Ltd
RAJKOTINV,Rajkot Investment Trust Ltd
ADCON,Adcon Capital Services Ltd
QUINT,Quint Digital Media Ltd
HDFCNIFETF,HDFC Nifty ETF
SXETF,HDFC Sensex ETF - Open Ended Traded Fund
UDAYJEW,Uday Jewellery Industries Ltd
MAYUKH,Mayukh Dealtrade Ltd
NAVIGANT,Navigant Corporate Advisors Ltd
GROVY,Grovy India Ltd
ALKEM,Alkem Laboratories Ltd
LALPATHLAB,Dr. Lal PathLabs Ltd
NAVKETAN,Navketan Merchants Ltd
SCTL,Suncare Traders Ltd
CREATIVE,Creative Castings Ltd
AAYUSH,Aayush Food and Herbs Ltd
ELITECON,Elitecon International Ltd
LUXIND,Lux Industries Ltd
VALLEY,Valley Magnesite Company Ltd
ABHIINFRA,Abhishek Infraventures Ltd
BNL,Beekay Niryat Ltd
NH,Narayana Hrudayalaya Ltd
FMEC,F Mec International Financial Services Ltd
DDIL,Deep Diamond India Ltd
ABHIJIT,Abhijit Trading Company Ltd
REMLIFE,Remedium Lifecare Ltd
AARNAV,Aarnav Fashions Ltd
ACEWIN,Acewin Agriteck Ltd
SCL,Sunshine Capital Ltd
SIPTL,Sharanam Infraproject and Trading Ltd
SHIVA,Shivansh Finserve Ltd
MISHTANN,Mishtann Foods Ltd
DELTA,Delta Industrial Resources Ltd
JSLHISAR,Jindal Stainless (Hisar) Ltd
ORACLECR,Oracle Credit Ltd
KEL,Kotia Enterprises Ltd
CHAMAK,Chamak Holdings Ltd
BLUECLOUDS,Blue Cloud Softech Solutions Ltd
AINFRA,A Infrastructure Ltd
BCLENTERPR,BCL Enterprises Ltd
AARCOM,AAR Commercial Company Ltd
PRECAM,Precision Camshafts Ltd
BVL,Blueblood Ventures Ltd
TEAMLEASE,TeamLease Services Ltd
VIDLI,Vidli Restaurants Ltd
BESTAGRO,Best Agrolife Ltd
ACEMEN,Ace Men Engg Works Ltd
BFLAFL,BFL Asset Finvest Ltd
RCL,Radhagobind Commercial Ltd
QUICKHEAL,Quick Heal Technologies Ltd
KAPILRAJ,Kapil Raj Finance Ltd
GANGAPHARM,Ganga Pharmaceuticals Ltd
DAL,Dynamic Archistructures Ltd
SESL,Sylph Education Solutions Ltd
SHIVKAMAL,Shivkamal Impex Ltd
KPEL,K.P. Energy Ltd
IFINSER,Interactive Financial Services Ltd
HILIKS,Hiliks Technologies Ltd
HYPERSOFT,Hypersoft Technologies Ltd
GOKULAGRO,Gokul Agro Resources Ltd
FREDUN,Fredun Pharmaceuticals Ltd
SIMBHALS,Simbhaoli Sugars Ltd
RELICAB,Relicab Cable Manufacturing Ltd
MODCL,Modern Converters Ltd
MNIL,Mega Nirman and Industries Ltd
DARJEELING,Darjeeling Ropeway Company Ltd
ADVIKCA,Advik Capital Ltd
LICNFNHGP,LIC MF Exchange Traded Fund- NIFTY 100
PDMJEPAPER,Pudumjee Paper Products Ltd
HCG,HealthCare Global Enterprises Ltd
KDML,Khemani Distributors & Marketing Ltd
UMIYA,Umiya Tubes Ltd
BHARATWIRE,Bharat Wire Ropes Ltd
CHDCHEM,CHD Chemicals Ltd
INFIBEAM,Infibeam Avenues Ltd
LELAVOIR,LE Lavoir Ltd
MUDRA,Mudra Financial Services Ltd
SICLTD,Shivom Investment & Consultancy Ltd
BALGOPAL,Balgopal Commercial Ltd
SUPERIOR,Superior Finlease Ltd
RPEL,Raghav Productivity Enhancers Ltd
FRANKLIN,Franklin Leasing and Finance Ltd
LANCER,Lancer Container Lines Ltd
NINSYS,NINtec Systems Ltd
EQUITAS,Equitas Holdings Ltd
HALDER,Halder Venture Ltd
SKIL,SKIL Infrastructure Ltd
THYROCARE,Thyrocare Technologies Ltd
BAJAJHCARE,Bajaj Healthcare Ltd
UJJIVAN,Ujjivan Financial Services Ltd
RSDFIN,RSD Finance Ltd
CROMPTON,Crompton Greaves Consumer Electricals Ltd
PILANIINVS,Pilani Investment and Industries Corporation Ltd
DARSHANORNA,Darshan Orna Ltd
PARAGMILK,Parag Milk Foods Ltd
MADHAVIPL,Madhav Infra Projects Ltd
SAGL,Shalimar Agencies Ltd
KOCL,Kome-On Communication Ltd
SNIM,Svarnim Trade Udyog Ltd
NAGARFERT,Nagarjuna Fertilizers and Chemicals Ltd
SEIL,Shanti Educational Initiatives Ltd
RGIL,Rotographics (India) Ltd
LIKHAMI,Likhami Consulting Ltd
MIL,Medico Intercontinental Ltd
YASHCHEM,Yash Chemex Ltd
MAXVIL,Max Ventures and Industries Ltd
ICICINV20,ICICI Prudential NV20 ETF
BAZELINTER,Bazel International Ltd
JLL,Jindal Leasefin Ltd
TAALENT,TAAL Enterprises Ltd
MGL,Mahanagar Gas Ltd
ZEAL,Zeal Aqua Ltd
QUESS,Quess Corp Ltd
ICICIMCAP,ICICI Prudential Midcap Select ETF
ASYL,Advance Syntex Ltd
HUIL,Hindusthan Urban Infrastructure Ltd
TITAANIUM,Titaanium Ten Enterprise Ltd
COMSYN,Commercial Syn Bags Ltd
CFEL,Confidence Futuristic Energetech Ltd
LLOYDSTEEL,Lloyds Steels Industries Ltd
KPL,Kwality Pharmaceuticals Ltd
LTI,Larsen & Toubro Infotech Ltd
EASTWEST,East West Holdings Ltd
BSLSENETFG,BIRLA SUN LIFE SENSEX ETF
COLORCHIPS,Colorchips New Media Ltd
ADVENZYMES,Advanced Enzyme Technologies Ltd
LAHL,Ladam Affordable Housing Ltd
PTIL,Prabhat Technologies (India) Ltd
DBL,Dilip Buildcon Ltd
SPAL,S.P. Apparels Ltd
BIGBLOC,Bigbloc Construction Ltd
GOLDENCREST,Golden Crest Education & Services Ltd
ECS,ECS Biztech Ltd
FRETAIL,Future Retail Ltd
RBLBANK,RBL Bank Ltd
AMS,AMS Polymers Ltd
SHIVAEXPO,Shiva Granito Export Ltd
BLS,BLS International Services Ltd
MITSU,Mitsu Chem Plast Ltd
SPRAYKING,Sprayking Agro Equipment Ltd
NARAYANI,Narayani Steels Ltd
GOVNOW,SAB Events & Governance Now Media Ltd
RSTL,Riddhi Steel and Tube Ltd
TVVISION,TV Vision Ltd
SPICY,Spicy Entertainment and Media Ltd
VISCO,Visco Trade Associates Ltd
TIAANC,Tiaan Consumer Ltd
LTTS,L&T Technology Services Ltd
GNA,G N A Axles Ltd
RADHIKAJWE,Radhika Jeweltech Ltd
SIIL,Sabrimala Industries India Ltd
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd
IISL,Ishaan Infrastructures and Shelters Ltd
ARCFIN,ARC Finance Ltd
HPL,HPL Electric & Power Ltd
SAGARSOFT,Sagarsoft (India) Ltd
DRA,DRA Consultants Ltd
VALIANTORG,Valiant Organics Ltd
ACML,Aditya Consumer Marketing Ltd
SHASHIJIT,Shashijit Infraprojects Ltd
BINDALEXPO,Bindal Exports Ltd
MHEL,Mewar Hi-Tech Engineering Ltd
DIKSAT,Diksat Transworld Ltd
IGRL,India Green Reality Ltd
ENDURANCE,Endurance Technologies Ltd
IDFSENSEXE,IDFC SENSEX ETF
PURPLE,Purple Entertainment Ltd
SUPRAP,Supra Pacific Management Consultancy Ltd
PNBHOUSING,PNB Housing Finance Ltd
SOUTHERNIN,Southern Infosys Ltd
REGENCY,Regency Fincorp Ltd
VBL,Varun Beverages Ltd
SALEM,Salem Erode Investments Ltd
FRANKLININD,Franklin Industries Ltd
LKPSEC,LKP Securities Ltd
OSIAJEE,Osiajee Texfab Ltd
CMBL,Corporate Merchant Bankers Ltd
SFL,Sheela Foam Ltd
AVL,Aditya Vision Ltd
TMRVL,The Mandhana Retail Ventures Ltd
SIFL,Sparkling (India) Finshares Ltd
TCIEXP,TCI Express Ltd
SHASHANK,Shashank Traders Ltd
LAURUSLABS,Laurus Labs Ltd
NEWLIGHT,New Light Apparels Ltd
VSL,Veeram Securities Ltd
SNTCL,Shree Nidhi Trading Co. Ltd
MTPL,Marg Techno Projects Ltd
SHANGAR,Shangar Decor Ltd
GLCL,Globe Commercials Ltd
DHANVARSHA,Dhanvarsha Finvest Ltd
SKL,Super Fine Knitters Ltd
RAIDEEPIND,Raideep Industries Ltd
PRICOLLTD,Pricol Ltd
CFL,Classic Filaments Ltd
JITFINFRA,JITF Infralogistics Ltd
SUERYAAKNI,Sueryaa Knitwear Ltd
TANVI,Tanvi Foods (India) Ltd
RMC,RMC Switchgears Ltd
PARMAX,Parmax Pharma Ltd
LLFICL,Leading Leasing Finance And Investment Company Ltd
DANUBE,Danube Industries Ltd
RADIOCITY,Music Broadcast Ltd
DMART,Avenue Supermarts Ltd
IFL,IFL Enterprises Ltd
KDLL,KD Leisures Ltd
ONTIC,Ontic Finserve Ltd
SMLT,Sarthak Metals Ltd
CHEMCRUX,Chemcrux Enterprises Ltd
MANOMAY,Manomay Tex India Ltd
MAXIMUS,Maximus International Ltd
MANAS,Manas Properties Ltd
CLEDUCATE,CL Educate Ltd
PRIMEFRESH,Prime Fresh Ltd
OCEANIC,Oceanic Foods Ltd
OCTAWARE,Octaware Technologies Ltd
SHANKARA,Shankara Building Products Ltd
ESCORP,Escorp Asset Management Ltd
PARMSILK,Parmeshwari Silk Mills Ltd
KMSMEDI,KMS Medisurgi Ltd
CLFL,Classic Leasing & Finance Ltd
STARLENT,Starlineps Enterprises Ltd
SCHAND,S Chand and Company Ltd
KANUNGO,Kanungo Financiers Ltd
MEERA,Meera Industries Ltd
HUDCO,Housing & Urban Development Corporation Ltd
PSPPROJECT,PSP Projects Ltd
BGJL,Bhakti Gems and Jewellery Ltd
YUG,Yug Decor Ltd
AXISAEDGG,Axis Equity Advantage Fund- Series 1 Direct Plan- Growth
AXISAEGPG,Axis Equity Advantage Fund- Series 1 Regular Plan- Growth
VARIMAN,Variman Global Enterprises Ltd
STARCEMENT,Star Cement Ltd
RIDDHICORP,Riddhi Corporate Services Ltd
HEOFDG1126,HDFC EOF- II- 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund- Series 2- Direct
HEOFDD1126,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Direct
HEOFRG1126,HDFC EOF- II - 1126D May 2017(1) plan under HDFC Equity Opportunities Fund - Series2 - Regular
HEOFRD1126,HDFC EOF - II - 1126D May 2017(1)  plan under HDFC Equity Opportunities Fund - Series 2 - Regular
TEJASNET,Tejas Networks Ltd
ERIS,Eris Lifesciences Ltd
GTPL,GTPL Hathway Ltd
AUBANK,AU Small Finance Bank Ltd
ICICILOVOL,ICICI Prudential Nifty Low Vol 30 ETF
GEL,Gautam Exim Ltd
GGENG,G G Engineering Ltd
7NR,7NR Retail Ltd
BHAGYAPROP,Bhagyanagar Properties Ltd
HEOFDG1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-DIRECT OPTION-GROWTH OPTION
HEOFDD1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-DIRECT OPTION-DIVIDEND PAYOUT OPTION
HEOFRG1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-GROWTH OPTION
HEOFRD1100,HDFC EQUITY OPPORTUNITIES FUND-II-1100D JUNE 2017(1) SERIES 2-REGULAR OPTION-DIVIDEND PAYOUT OPTION
SALASAR,Salasar Techno Engineering Ltd
GANGESSEC,Ganges Securities Ltd
PALASHSEC,Palash Securities Ltd
AVADHSUGAR,Avadh Sugar & Energy Ltd
MAGADHSUGAR,Magadh Sugar & Energy Ltd
JIGAR,Jigar Cables Ltd
CTCL,Captain Technocast Ltd
SINTEXPLAST,Sintex Plastics Technology Ltd
GSTL,Globalspace Technologies Ltd
UTINEXT50,UTI Nifty Next 50 ETF
SIS,SIS Ltd
COCHINSHIP,Cochin Shipyard Ltd
SMSLIFE,SMS Lifesciences India Ltd
KIOCL,KIOCL Ltd
CHOTHANI,Chothani Foods Ltd
SMRUTHIORG,Smruthi Organics Ltd
ABCAPITAL,Aditya Birla Capital Ltd
APEX,Apex Frozen Foods Ltd
SHISHIND,Shish Industries Ltd
ANG,ANG Lifesciences India Ltd
DWL,Dhruv Wellness Ltd
KCDGROUP,KCD Industries India Ltd
AMFL,A & M Febcon Ltd
DIXON,Dixon Technologies (India) Ltd
BRNL,Bharat Road Network Ltd
DCAL,Dishman Carbogen Amcis Ltd
LASA,Lasa Supergenerics Ltd
PROVESTSER,Provestment Services Ltd
MATRIMONY,Matrimony.com Ltd
RELHOME,Reliance Home Finance Ltd
CAPACITE,Capacite Infraprojects Ltd
SAGAR,Sagar Diamonds Ltd
ICICIGI,ICICI Lombard General Insurance Company Ltd
PQIF,Polo Queen Industrial and Fintech Ltd
